Year,FFRank,Name,Team,TeamID,Yards,TD,FPTS,opponents,games_vs_top_ten,games_vs_bottom_ten,opponent_avg_madden_rating
2023,15,Isiah Pacheco,Chiefs,10,935,7,171.9,"[20, 18, 2, 19, 32, 5, 9, 5, 14, 15, 24, 21, 4, 23, 24, 3, 9]",5,7,80.0
2023,16,Kenneth Walker,Seahawks,28,905,8,170.4,"[25, 20, 22, 17, 3, 8, 6, 26, 12, 25, 1, 13, 1, 15, 31, 29, 8]",7,3,79.06
2023,17,Najee Harris,Steelers,29,"1,035",8,168.5,"[1, 6, 24, 30, 26, 25, 18, 31, 21, 6, 3, 8, 23, 11, 3, 28, 26]",7,7,78.65
2023,18,Tony Pollard,Cowboys,13,"1,005",6,167.6,"[17, 19, 8, 23, 1, 9, 25, 15, 17, 22, 12, 28, 15, 4, 14, 20, 12]",5,5,80.06
2023,19,Jerome Ford,Browns,6,813,4,167.2,"[3, 29, 31, 26, 1, 11, 28, 8, 26, 29, 5, 25, 18, 2, 30, 19, 3]",9,4,78.65
2023,20,Brian Robinson Jr.,Commanders,12,733,5,164.1,"[8, 5, 4, 15, 2, 16, 17, 15, 23, 28, 17, 13, 14, 25, 19, 1, 13]",4,4,80.65
2022,1,Josh Jacobs,Raiders,24,"1,653",12,277.3,"[9, 8, 31, 5, 10, 30, 27, 18, 11, 5, 28, 9, 25, 23, 29, 1, 10]",5,5,80.24
2022,2,Austin Ekeler,Chargers,9,915,13,271.7,"[24, 10, 18, 30, 6, 5, 28, 16, 1, 10, 8, 24, 14, 31, 11, 25, 5]",5,5,78.82
2022,3,Derrick Henry,Titans,31,"1,538",13,271.6,"[17, 4, 24, 11, 12, 11, 30, 10, 5, 21, 3, 15, 18, 9, 30, 13, 18]",6,7,79.29
2022,4,Christian McCaffrey,Panthers,22,"1,139",8,266.0,"[6, 17, 27, 8, 1, 25, 7, 16, 3, 16, 26, 5, 28, 29, 20, 7, 27]",8,5,80.24
2022,5,Nick Chubb,Browns,6,"1,525",12,254.4,"[22, 19, 29, 16, 9, 23, 26, 3, 14, 4, 7, 30, 3, 26, 27, 12, 29]",7,6,81.65
2022,6,Saquon Barkley,Giants,17,"1,312",10,225.0,"[31, 22, 13, 2, 21, 26, 18, 28, 30, 20, 13, 12, 15, 12, 32, 11, 15]",6,4,79.47
2022,7,Jamaal Williams,Lions,20,"1,066",17,215.9,"[15, 12, 32, 28, 23, 13, 14, 21, 2, 17, 4, 18, 32, 19, 22, 2, 21]",3,5,80.24
2022,8,Tony Pollard,Cowboys,13,"1,007",9,209.8,"[7, 3, 17, 12, 25, 15, 20, 2, 21, 32, 17, 11, 30, 18, 15, 31, 12]",7,6,79.65
2022,9,Dalvin Cook,Vikings,32,"1,173",8,206.8,"[21, 15, 20, 27, 2, 14, 8, 12, 4, 13, 23, 19, 20, 11, 17, 21, 2]",5,4,79.82
2022,10,Miles Sanders,Eagles,15,"1,269",11,200.7,"[20, 32, 12, 18, 8, 13, 29, 30, 12, 11, 21, 31, 17, 2, 13, 27, 17]",6,7,79.0
2022,11,Aaron Jones,Packers,21,"1,121",2,193.6,"[32, 2, 7, 23, 17, 19, 12, 4, 20, 13, 31, 15, 2, 25, 14, 32, 20]",3,6,80.0
2022,12,Najee Harris,Steelers,29,"1,034",7,186.3,"[3, 23, 6, 19, 4, 7, 14, 15, 27, 3, 11, 16, 26, 22, 24, 26, 6]",9,3,81.18
2022,13,Rhamondre Stevenson,Patriots,23,"1,040",5,182.1,"[14, 29, 26, 21, 20, 6, 2, 19, 11, 19, 32, 4, 8, 24, 3, 14, 4]",5,6,81.53
2022,14,Joe Mixon,Bengals,3,814,7,179.5,"[29, 13, 19, 14, 26, 27, 16, 6, 22, 29, 31, 10, 6, 7, 23, 4, 26]",7,4,81.76
2022,15,Kenneth Walker,Seahawks,28,"1,050",9,175.5,"[5, 1, 16, 20, 27, 8, 9, 17, 8, 7, 24, 25, 22, 1, 10, 19, 25]",3,6,80.29
2022,16,Travis Etienne,Jaguars,18,"1,125",5,174.1,"[12, 11, 9, 15, 30, 11, 17, 5, 24, 10, 26, 20, 31, 13, 19, 30, 31]",7,7,78.82
2022,17,Alvin Kamara,Saints,27,897,2,162.7,"[16, 7, 22, 32, 28, 3, 8, 24, 26, 29, 25, 1, 7, 16, 6, 15, 22]",5,5,80.65
2022,18,James Conner,Cardinals,8,782,7,156.2,"[10, 24, 25, 22, 15, 28, 27, 32, 28, 25, 1, 9, 23, 5, 7, 16, 1]",3,4,81.24
2022,19,Leonard Fournette,Buccaneers,7,668,3,155.1,"[13, 27, 21, 10, 16, 29, 22, 26, 25, 28, 6, 27, 1, 3, 8, 22, 16]",6,3,80.47
2022,20,David Montgomery,Bears,2,801,5,147.7,"[1, 21, 30, 17, 32, 12, 23, 13, 14, 20, 16, 19, 21, 15, 4, 20, 32]",3,8,79.94
2021,1,Jonathan Taylor,Colts,11,"1,811",18,337.1,"[28, 25, 31, 14, 26, 30, 1, 31, 19, 18, 4, 7, 30, 23, 8, 24, 18]",4,7,79.59
2021,2,Austin Ekeler,Chargers,9,911,12,275.8,"[12, 13, 10, 24, 6, 26, 23, 15, 32, 29, 5, 3, 17, 10, 30, 5, 24]",3,9,79.94
2021,3,Joe Mixon,Bengals,3,"1,205",13,247.9,"[32, 2, 29, 18, 21, 20, 26, 19, 6, 24, 29, 9, 1, 5, 26, 10, 6]",6,5,81.35
2021,4,Najee Harris,Steelers,29,"1,200",7,226.7,"[4, 24, 3, 21, 5, 28, 6, 2, 20, 9, 3, 26, 32, 31, 10, 6, 26]",3,5,80.06
2021,5,James Conner,Cardinals,8,752,15,220.7,"[31, 32, 18, 25, 1, 6, 30, 21, 1, 22, 28, 2, 25, 20, 11, 13, 28]",6,5,79.47
2021,6,Ezekiel Elliott,Cowboys,13,"1,002",10,200.9,"[7, 9, 15, 22, 17, 23, 32, 5, 16, 10, 24, 27, 12, 17, 12, 8, 15]",5,6,80.71
2021,7,Nick Chubb,Browns,6,"1,259",8,197.3,"[10, 30, 2, 32, 9, 8, 5, 29, 3, 23, 20, 26, 26, 24, 21, 29, 3]",5,6,81.29
2021,8,Damien Harris,Patriots,23,929,15,196.1,"[14, 19, 27, 7, 30, 13, 19, 9, 22, 6, 16, 31, 4, 11, 4, 18, 14]",4,5,78.35
2021,9,Antonio Gibson,Commanders,12,"1,037",7,193.1,"[9, 17, 4, 16, 27, 10, 21, 5, 7, 22, 28, 24, 13, 15, 13, 15, 17]",5,7,79.71
2021,10,Alvin Kamara,Saints,27,898,4,187.7,"[21, 22, 23, 17, 12, 28, 7, 16, 31, 15, 4, 13, 19, 7, 14, 22, 16]",5,4,79.82
2021,11,Leonard Fournette,Buccaneers,7,812,8,186.6,"[13, 16, 25, 23, 14, 15, 2, 27, 12, 17, 11, 16, 4, 27, 22, 19, 22]",8,4,79.35
2021,12,Cordarrelle Patterson,Falcons,16,618,6,182.6,"[15, 7, 17, 12, 19, 14, 22, 27, 13, 23, 18, 7, 22, 1, 20, 4, 27]",6,6,80.47
2021,13,Aaron Jones,Packers,21,799,4,179.0,"[27, 20, 1, 29, 3, 2, 12, 8, 10, 28, 32, 25, 2, 26, 6, 32, 20]",7,4,81.18
2021,14,Josh Jacobs,Raiders,24,872,9,176.0,"[26, 29, 14, 9, 2, 5, 15, 17, 10, 3, 13, 12, 10, 6, 5, 11, 9]",5,4,80.82
2021,15,Dalvin Cook,Vikings,32,"1,159",6,174.3,"[3, 8, 28, 6, 20, 22, 13, 26, 9, 21, 1, 20, 29, 2, 25, 21, 2]",6,3,81.06
2021,16,Melvin Gordon,Broncos,5,918,8,173.1,"[17, 18, 19, 26, 29, 24, 6, 12, 13, 15, 9, 10, 20, 3, 24, 9, 10]",3,6,78.29
2021,17,Devin Singletary,Bills,4,870,7,157.8,"[29, 14, 12, 30, 10, 31, 14, 18, 19, 11, 27, 23, 7, 22, 23, 16, 19]",5,4,79.53
2021,18,David Montgomery,Bears,2,849,7,157.0,"[25, 3, 6, 20, 24, 21, 7, 1, 29, 26, 20, 8, 21, 32, 28, 17, 32]",6,5,81.24
2021,19,Darrel Williams,Chiefs,10,558,6,149.0,"[6, 26, 9, 15, 4, 12, 31, 17, 21, 24, 13, 5, 24, 9, 29, 3, 5]",3,7,80.65
2021,20,D'Andre Swift,Lions,20,617,5,148.9,"[1, 21, 26, 2, 32, 3, 25, 15, 29, 6, 2, 32, 5, 8, 16, 28, 21]",7,4,82.12
2020,1,Derrick Henry,Titans,31,"2,027",17,316.1,"[5, 18, 32, 4, 30, 29, 3, 2, 11, 26, 11, 6, 18, 20, 21, 30]",6,5,80.0
2020,2,Alvin Kamara,Saints,27,932,16,294.8,"[7, 24, 21, 20, 9, 22, 2, 7, 1, 16, 5, 16, 15, 10, 32, 22]",5,4,78.88
2020,3,Dalvin Cook,Vikings,32,"1,557",16,293.8,"[21, 11, 31, 30, 28, 16, 21, 20, 2, 13, 22, 18, 7, 2, 27, 20]",3,5,79.69
